"idCatalogoCuenta","desCatalogoCuenta"
1,"ICAP"
6000," OPERACIONES DE REPORTO ACTUANDO COMO REPORTADOR"
6001," Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6002,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6003,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de: Clasificadas en el Grupo III"
6004,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de: Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6005,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6006,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6007,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6008,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de: Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6009,"Importe Positivo OPERACIONES DE REPORTO ACTUANDO COMO REPORTADO"
6010,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6011,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6012,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de: Clasificadas en el Grupo III"
6013,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de: Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6014,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6015,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6016,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A"
6017,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de: Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6018,"Importe Positivo INTERCAMBIOS DE FLUJOS DE DINERO (SWAPS)"
6019,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6020,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II "
6021,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
6022,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IV (ponderados al 0 por ciento)"
6023,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo IV (ponderados al 20 por ciento)"
6024,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo V"
6025,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda a lo establecido en el: Clasificadas en el Grupo VII-A "
6026,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo IX (ponderados al 100 por ciento)"
6027,"Importe Positivo CONTRATOS ADELANTADOS (FORWARDS) Y FUTUROS DE COMPRA DE DIVISAS"
6028,"Importe Positivo Clasificadas en el Grupo I (ponderados al 0 por ciento)"
6029,"Operaciones con Importe positivo a favor de la Institución Clasificadas en el Grupo II"
6030,"Importe Positivo de las operaciones cuya calificación de la contraparte corresponda al Grado de:  Clasificadas en el Grupo III"
