FECHA;TIPO VALOR;EMISORA;SERIE;PRECIO LIMPIO;PRECIO SUCIO;INTERESES ACUMULADOS;CUPON ACTUAL;SOBRETASA;NOMBRE COMPLETO;SECTOR;MONTO EMITIDO;MONTO EN CIRCULACION;FECHA EMISION;PLAZO EMISION;FECHA VCTO;VALOR NOMINAL;MONEDA EMISION;SUBYACENTE;REND. COLOCACION;ST COLOCACION;FREC. CPN;TASA CUPON;DIAS TRANSC. CPN;REGLA CUPON;CUPONES EMISION;CUPONES X COBRAR;HECHO DE MKT;FECHA U.H.;PRECIO TEORICO;POST COMPRA;POST VENTA;YIELD COMPRA;YIELD VENTA;SPREAD COMPRA;SPREAD VENTA;MDYS;S&P;BURSATILIDAD;LIQUIDEZ;CAMBIO DIARIO;CAMBIO SEMANAL;PRECIO MAX 12M;PRECIO MIN 12M;SUSPENSION;VOLATILIDAD;VOLATILIDAD 2;DURACION;DURACION MONET.;CONVEXIDAD;VAR;DESVIACION STAND;VALOR NOMINAL ACTUALIZADO;CALIFICACION FITCH;FECHA PRECIO MAXIMO;FECHA PRECIO MINIMO;SENSIBILIDAD;DURACION MACAULAY;TASA DE RENDIMIENTO;HR RATINGS;DURACION EFECTIVA
20131231;*C;AEDUSD;AED;3.6729;3.6729;0;0;0;[AED] EM. ÁRABES UNIDOS DIRHAM (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[AED] Em. Árabes Unidos Dirham (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;ALLUSD;ALL;101.8;101.8;0;0;0;[ALL] ALBANIA LEK (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[ALL] Albania Lek (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;ANGUSD;ANG;1.7725;1.7725;0;0;0;[ANG] ANTILLAS HOLAN. FLORIN (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[ANG] Antillas Holan. Florin (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;ARPUSD;ARP;6.517;6.517;0;0;0;[ARP] PESO ARGENTINO (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[ARP] Peso Argentino (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;ARSUSD;ARS;6.517;6.517;0;0;0;[USD] PESO ARGENTINO (ARS);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[ARS] Peso Argentino (MXN);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;-;-;-;-;-;-;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-;-;-;NA;NA;NA;NA;NA;NA;-;-;0;NA;-
20131231;*C;ATSUSD;ATS;9.9951;9.9951;0;0;0;[ATS] CH. AUSTRIACO (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[ATS] Ch. Austriaco (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;AUDUSD;AUD;1.119445;1.119445;0;0;0;[AUD] D. AUSTRALIAN (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[AUD] D. Australian (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;BBDUSD;BBD;1.98;1.98;0;0;0;[BBD] BARBADOS DÓLAR (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[BBD] Barbados Dólar (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;BEFUSD;BEF;29.302;29.302;0;0;0;[BEF] FRANCO BELGA (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[BEF] Franco Belga (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
20131231;*C;BGLUSD;BGL;1.4205;1.4205;0;0;0;[BGL] BULGARIA LEV (USD);TIPO DE CAMBIO;NA;NA;NA;NA;NA;NA;[BGL] Bulgaria Lev (USD);NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;-
